"RV56: DEATHS by Year, Cause of death by ICD-10, Sex and Age group",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Age groups total,0,1,2,3,4,0-4,1-4,5-9,10-14,0-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,15-49,50-54,55-59,60-64,15-64,65 and older,65-69,70-74,75-79,80-84,85 and older,85-89,90-94,95-99,100 and older,Age unknown
,,Females,245,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,7,8,24,9,20,18,71,174,26,16,27,37,68,..,..,..,..,0
,"..ulcer of stomach, duodenum and jejunum (K25-K28)",Males and females,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,7,4,16,42,6,8,5,10,13,..,..,..,..,0
,,Males,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,5,3,13,17,2,6,1,4,4,..,..,..,..,0
,,Females,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,25,4,2,4,6,9,..,..,..,..,0
,"..chronic liver disease (K70, K73, K74)",Males and females,251,0,0,0,0,0,0,0,0,0,0,0,0,4,5,13,21,30,73,26,42,44,185,66,35,14,9,3,5,..,..,..,..,0
,,Males,177,0,0,0,0,0,0,0,0,0,0,0,0,3,2,9,16,23,53,19,29,30,131,46,25,12,7,1,1,..,..,..,..,0
,,Females,74,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,5,7,20,7,13,14,54,20,10,2,2,2,4,..,..,..,..,0
,....alcoholic liver disease (K70),Males and females,180,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,16,22,53,21,35,32,141,39,25,8,4,1,1,..,..,..,..,0
,,Males,131,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,13,17,38,16,23,22,99,32,20,6,4,1,1,..,..,..,..,0
,,Females,49,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,3,5,15,5,12,10,42,7,5,2,0,0,0,..,..,..,..,0
,.....cirrhosis of liver (K74),Males and females,69,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4,8,18,5,7,12,42,27,10,6,5,2,4,..,..,..,..,0
,,Males,46,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,3,6,15,3,6,8,32,14,5,6,3,0,0,..,..,..,..,0
,,Females,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2,1,4,10,13,5,0,2,2,4,..,..,..,..,0
,Diseases of the skin and subcutaneous tissue (L00-L99),Males and females,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,2,9,2,0,1,1,5,..,..,..,..,0
,,Males,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,1,0,2,..,..,..,..,0
,,Females,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,6,2,0,0,1,3,..,..,..,..,0
,Diseases of the musculo-skeletal system and connective tissue (M00-M99),Males and females,40,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,3,6,5,16,24,2,4,7,5,6,..,..,..,..,0
,,Males,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,3,2,7,6,1,3,2,0,0,..,..,..,..,0
,,Females,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,9,18,1,1,5,5,6,..,..,..,..,0
,"..rheumatoid arthritis and osteoarthrosis (M05-M06, M15-M19)",Males and females,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,12,1,1,5,3,2,..,..,..,..,0
,,Males,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,1,0,0,..,..,..,..,0
,,Females,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,10,1,0,4,3,2,..,..,..,..,0
,Diseases of the genito-urinary system (N00-N99),Males and females,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2,5,3,13,108,9,9,25,31,34,..,..,..,..,0
,,Males,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1,2,2,8,44,5,5,13,11,10,..,..,..,..,0
,,Females,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,5,64,4,4,12,20,24,..,..,..,..,0
,..diseases of kidney and ureter (N00-N29),Males and females,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,5,3,12,77,8,6,23,18,22,..,..,..,..,0
,,Males,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,2,2,7,28,4,4,12,3,5,..,..,..,..,0
,,Females,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,5,49,4,2,11,15,17,..,..,..,..,0
,....nephritic syndromes (N00-N05),Males and females,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,2,3,2,0,0,1,0,..,..,..,..,0
,,Males,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,2,2,2,0,0,0,0,..,..,..,..,0
,,Females,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,..,..,..,..,0
,..hyperplasia of prostate (N40),Males and females,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,3,..,..,..,..,0
,,Males,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,3,..,..,..,..,0
,,Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,0
,"Complications of pregnancy, childbirth and puerperium (O00-O99)",Males and females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,0
,,Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,0
,,Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,0
,..pregnancy with abortive outcome (O00-O08),Males and females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,0
,,Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,0
,,Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,0
,Certain conditions originating in the perinatal period (P00-P96),Males and females,14,14,0,0,0,0,14,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,0
,,Males,7,7,0,0,0,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,0
,,Females,7,7,0,0,0,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,0
,..birth trauma (P10-P15),Males and females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,0
,,Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,0
,,Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,0
,Congenital malformations and chromosomal abnormalities (Q00-Q99),Males and females,29,10,0,1,0,1,12,2,1,0,13,0,2,3,1,0,0,2,8,3,0,3,14,2,0,1,1,0,0,..,..,..,..,0
,,Males,16,6,0,0,0,0,6,0,0,0,6,0,1,3,1,0,0,2,7,0,0,1,8,2,0,1,1,0,0,..,..,..,..,0
,,Females,13,4,0,1,0,1,6,2,1,0,7,0,1,0,0,0,0,0,1,3,0,2,6,0,0,0,0,0,0,..,..,..,..,0
,"Symptoms, signs and ill-defined causes (R00-R99)",Males and females,442,3,1,0,0,0,4,1,0,0,4,1,9,4,8,11,13,18,64,29,34,37,164,274,23,29,35,38,149,..,..,..,..,0
,,Males,229,2,1,0,0,0,3,1,0,0,3,1,6,3,7,9,11,15,52,27,30,33,142,84,15,14,18,13,24,..,..,..,..,0
,,Females,213,1,0,0,0,0,1,0,0,0,1,0,3,1,1,2,2,3,12,2,4,4,22,190,8,15,17,25,125,..,..,..,..,0
,..senility (R54),Males and females,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,0,1,3,21,122,..,..,..,..,0
,,Males,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,1,10,21,..,..,..,..,0
,,Females,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,1,2,11,101,..,..,..,..,0
,..sudden infant death syndrome (R95),Males and females,2,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,0
,,Males,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,0
,,Females,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,0
,..unknown and unspecified causes (R96-R99),Males and females,151,0,0,0,0,0,0,0,0,0,0,1,4,2,3,5,7,12,34,18,22,23,97,54,12,17,12,7,6,..,..,..,..,0
,,Males,111,0,0,0,0,0,0,0,0,0,0,1,2,2,3,5,6,11,30,17,19,21,87,24,8,10,5,0,1,..,..,..,..,0
,,Females,40,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,4,1,3,2,10,30,4,7,7,7,5,..,..,..,..,0
,Injury and poisoning (V01-Y89),Males and females,936,3,0,0,1,1,5,2,6,7,18,19,46,64,75,59,60,87,410,92,84,99,685,233,54,41,39,48,51,..,..,..,..,0
,,Males,721,2,0,0,1,1,4,2,6,5,15,16,40,54,59,52,49,70,340,76,66,79,561,145,43,24,26,27,25,..,..,..,..,0
,,Females,215,1,0,0,0,0,1,0,0,2,3,3,6,10,16,7,11,17,70,16,18,20,124,88,11,17,13,21,26,..,..,..,..,0
,..accidents (V01-X59),Males and females,612,3,0,0,1,1,5,2,6,5,16,9,30,36,49,43,38,55,260,55,61,70,446,150,43,23,24,27,33,..,..,..,..,0
,,Males,467,2,0,0,1,1,4,2,6,3,13,7,24,30,39,39,29,47,215,47,46,54,362,92,34,11,16,15,16,..,..,..,..,0
,,Females,145,1,0,0,0,0,1,0,0,2,3,2,6,6,10,4,9,8,45,8,15,16,84,58,9,12,8,12,17,..,..,..,..,0
,....transport accidents (V01-V99),Males and females,89,0,0,0,0,0,0,0,1,3,4,4,14,9,6,6,4,7,50,4,7,7,68,17,6,4,4,1,2,..,..,..,..,0
,,Males,62,0,0,0,0,0,0,0,1,1,2,4,12,7,5,3,3,5,39,3,5,5,52,8,2,2,1,1,2,..,..,..,..,0
,,Females,27,0,0,0,0,0,0,0,0,2,2,0,2,2,1,3,1,2,11,1,2,2,16,9,4,2,3,0,0,..,..,..,..,0
,....accidental falls (W00-W19),Males and females,98,1,0,0,0,0,1,0,0,1,2,1,4,3,2,2,2,4,18,8,8,13,47,49,5,5,6,12,21,..,..,..,..,0
,,Males,69,1,0,0,0,0,1,0,0,1,2,1,2,2,2,2,1,4,14,8,8,13,43,24,5,2,4,7,6,..,..,..,..,0
,,Females,29,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,4,0,0,0,4,25,0,3,2,5,15,..,..,..,..,0
,....accidental drowning (W65-W74),Males and females,62,0,0,0,0,1,1,1,4,0,5,1,2,4,1,5,5,9,27,5,2,7,41,16,8,2,2,1,3,..,..,..,..,0
,,Males,51,0,0,0,0,1,1,1,4,0,5,1,2,4,0,5,4,7,23,5,2,6,36,10,5,0,1,1,3,..,..,..,..,0
,,Females,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,4,0,0,1,5,6,3,2,1,0,0,..,..,..,..,0
,"....exposure to smoke, fire and flames (X00-X09)",Males and females,45,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,3,5,9,5,7,8,29,15,2,3,1,6,3,..,..,..,..,0
,,Males,32,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,4,6,5,4,5,20,11,1,3,1,3,3,..,..,..,..,0
,,Females,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,3,3,9,4,1,0,0,3,0,..,..,..,..,0
,....exposure to excessive natural cold (X31),Males and females,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,10,1,5,14,30,15,7,1,1,3,3,..,..,..,..,0
,,Males,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,8,1,3,11,23,13,7,1,1,2,2,..,..,..,..,0
,,Females,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2,3,7,2,0,0,0,1,1,..,..,..,..,0
,....accidental poisoning (X40-X49),Males and females,217,0,0,0,0,0,0,0,0,0,0,2,9,19,39,25,15,19,128,25,26,15,194,23,9,5,7,2,0,..,..,..,..,0
,,Males,175,0,0,0,0,0,0,0,0,0,0,1,7,16,31,25,14,17,111,18,19,10,158,17,8,2,6,1,0,..,..,..,..,0
,,Females,42,0,0,0,0,0,0,0,0,0,0,1,2,3,8,0,1,2,17,7,7,5,36,6,1,3,1,1,0,..,..,..,..,0
,......accidental poisoning by alcohol (X45),Males and females,116,0,0,0,0,0,0,0,0,0,0,0,2,2,3,8,11,12,38,24,25,15,102,14,7,3,3,1,0,..,..,..,..,0
,,Males,88,0,0,0,0,0,0,0,0,0,0,0,1,0,3,8,10,11,33,17,18,10,78,10,6,1,3,0,0,..,..,..,..,0
,,Females,28,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,1,5,7,7,5,24,4,1,2,0,1,0,..,..,..,..,0
,..suicide (X60-X84),Males and females,236,0,0,0,0,0,0,0,0,2,2,10,11,25,20,10,13,25,114,23,14,23,174,60,6,15,12,14,13,..,..,..,..,0
,,Males,188,0,0,0,0,0,0,0,0,2,2,9,11,22,15,8,11,19,95,17,13,20,145,41,4,11,9,10,7,..,..,..,..,0
,,Females,48,0,0,0,0,0,0,0,0,0,0,1,0,3,5,2,2,6,19,6,1,3,29,19,2,4,3,4,6,..,..,..,..,0
,..homicide (X85-Y09),Males and females,41,0,0,0,0,0,0,0,0,0,0,0,3,1,4,4,6,4,22,7,4,3,36,5,0,0,1,3,1,..,..,..,..,0
,,Males,32,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,6,3,19,7,3,2,31,1,0,0,0,1,0,..,..,..,..,0
,,Females,9,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3,0,1,1,5,4,0,0,1,2,1,..,..,..,..,0
,..event of undermined intent (Y30-Y34),Males and females,36,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,3,2,11,6,5,3,25,11,4,2,1,2,2,..,..,..,..,0
,,Males,29,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,3,1,9,5,4,3,21,8,4,1,1,1,1,..,..,..,..,0
,,Females,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,1,0,4,3,0,1,0,1,1,..,..,..,..,0
2015,All causes,Males and females,15243,35,2,2,4,5,48,15,8,11,67,31,34,85,145,146,212,290,943,477,766,1066,3252,11924,1309,1552,2210,2488,4365,2563,1388,344,70,..
,,Males,7217,18,1,2,3,2,26,9,4,5,35,21,27,62,119,113,151,214,707,340,547,718,2312,4870,857,912,1099,969,1033,699,274,53,7,..
,,Females,8026,17,1,0,1,3,22,6,4,6,32,10,7,23,26,33,61,76,236,137,219,348,940,7054,452,640,1111,1519,3332,1864,1114,291,63,..
,Infectious and parasitic diseases (A00-B99),Males and females,113,0,0,0,0,0,0,0,1,0,1,0,0,4,13,11,7,7,42,8,11,7,68,44,7,9,13,6,9,5,4,0,0,..
,,Males,70,0,0,0,0,0,0,0,0,0,0,0,0,3,12,10,6,5,36,5,6,5,52,18,4,6,7,0,1,1,0,0,0,..
,,Females,43,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,2,6,3,5,2,16,26,3,3,6,6,8,4,4,0,0,..
,"..tuberculosis (A15-A19, B90)",Males and females,21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,4,2,2,12,9,1,3,4,0,1,1,0,0,0,..
,,Males,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,3,1,2,10,6,1,3,2,0,0,0,0,0,0,..
,,Females,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,3,0,0,2,0,1,1,0,0,0,..
,..meningococcal infection (A39),Males and females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
,,Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
,,Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
,..sepsis (A40-A41),Males and females,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,7,18,1,3,5,4,5,2,3,0,0,..
,,Males,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,4,5,1,1,3,0,0,0,0,0,0,..
,,Females,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,13,0,2,2,4,5,2,3,0,0,..
,..viral hepatitis(B20-B24),Males and females,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,2,0,4,2,1,1,0,0,0,0,0,0,0,..
,,Males,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,3,1,0,1,0,0,0,0,0,0,0,..
,,Females,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,..
,..HIV-disease (B20-B24),Males and females,44,0,0,0,0,0,0,0,1,0,1,0,0,4,11,10,5,4,34,2,6,1,43,0,0,0,0,0,0,0,0,0,0,..
,,Males,33,0,0,0,0,0,0,0,0,0,0,0,0,3,10,9,4,3,29,1,3,0,33,0,0,0,0,0,0,0,0,0,0,..
,,Females,11,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,5,1,3,1,10,0,0,0,0,0,0,0,0,0,0,..
,Neoplasms (C00-D48),Males and females,3902,2,1,0,4,1,8,6,1,1,10,5,1,5,14,24,42,71,162,120,267,406,955,2937,475,566,682,608,606,410,169,24,3,..
,,Males,2077,1,0,0,3,1,5,4,0,1,6,1,1,5,8,12,20,43,90,65,162,235,552,1519,302,343,359,299,216,157,54,5,0,..
,,Females,1825,1,1,0,1,0,3,2,1,0,4,4,0,0,6,12,22,28,72,55,105,171,403,1418,173,223,323,309,390,253,115,19,3,..
,..malignant neoplasms (C00-C97),Males and females,3816,2,1,0,4,1,8,6,1,1,10,5,1,4,13,24,42,71,160,120,264,403,947,2859,471,551,665,589,583,399,158,23,3,..
,,Males,2049,1,0,0,3,1,5,4,0,1,6,1,1,4,7,12,20,43,88,65,162,234,549,1494,301,334,353,296,210,152,53,5,0,..
,,Females,1767,1,1,0,1,0,3,2,1,0,4,4,0,0,6,12,22,28,72,55,102,169,398,1365,170,217,312,293,373,247,105,18,3,..
,"....malignant neoplasm of lip, oral cavity and pharynx (C00-C14)",Males and females,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,8,8,11,22,49,44,7,17,14,3,3,3,0,0,0,..
,,Males,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,8,7,9,18,42,35,6,15,12,1,1,1,0,0,0,..
,,Females,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,7,9,1,2,2,2,2,2,0,0,0,..
,....malignant neoplasm of oesophagus (C15),Males and females,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,6,20,35,35,14,7,7,4,3,3,0,0,0,..
,,Males,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,6,17,32,28,12,7,4,4,1,1,0,0,0,..
,,Females,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,2,0,3,0,2,2,0,0,0,..
,....malignant neoplasm of stomach (C16),Males and females,276,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,7,15,9,27,37,88,188,40,34,45,33,36,24,9,3,0,..
,,Males,149,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,5,12,6,20,20,58,91,24,19,24,14,10,8,1,1,0,..
,,Females,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,3,7,17,30,97,16,15,21,19,26,16,8,2,0,..
,"....malignant neoplasm of colon and rectosigmoid junction (C18, C19)",Males and females,340,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,8,16,11,20,25,72,268,31,43,66,58,70,51,18,1,0,..
,,Males,152,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,7,12,4,12,9,37,115,16,22,27,25,25,19,6,0,0,..
,,Females,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,7,8,16,35,153,15,21,39,33,45,32,12,1,0,..
,......malignant neoplasm of colon (C18),Males and females,297,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,8,15,9,20,19,63,234,27,39,54,51,63,47,15,1,0,..
,,Males,132,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,7,12,3,12,7,34,98,14,18,19,24,23,18,5,0,0,..
,,Females,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,6,8,12,29,136,13,21,35,27,40,29,10,1,0,..
,......malignant neoplasm of colon and rectosigmoid junction (C19),Males and females,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,6,9,34,4,4,12,7,7,4,3,0,0,..
,,Males,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,17,2,4,8,1,2,1,1,0,0,..
,,Females,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,4,6,17,2,0,4,6,5,3,2,0,0,..
,"....malignant neoplasm of rectum and anus (C20, C21)",Males and females,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,16,23,108,17,22,18,26,25,19,5,1,0,..
,,Males,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,9,15,55,13,12,9,13,8,6,1,1,0,..
,,Females,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,8,53,4,10,9,13,17,13,4,0,0,..
,....malignant neoplasm of liver and intrahepatic bile ducts (C22),Males and females,102,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,4,3,9,13,29,73,14,19,16,18,6,6,0,0,0,..
,,Males,66,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,4,3,8,7,22,44,10,12,8,10,4,4,0,0,0,..
,,Females,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,7,29,4,7,8,8,2,2,0,0,0,..
,....malignant neoplasm of pancreas (C25),Males and females,238,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,5,8,7,17,27,59,179,25,39,35,37,43,31,11,1,0,..
,,Males,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,1,10,20,36,74,17,24,14,8,11,9,2,0,0,..
,,Females,128,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,6,7,7,23,105,8,15,21,29,32,22,9,1,0,..
,....malignant neoplasms of respiratory organs (C30-39),Males and females,724,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,9,14,19,66,86,185,539,130,139,120,92,58,43,13,2,0,..
,,Males,547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,8,14,52,70,144,403,101,108,98,63,33,25,8,0,0,..
,,Females,177,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,6,5,14,16,41,136,29,31,22,29,25,18,5,2,0,..
,"......malignant neoplasm of larynx, trachea, bronchus and lung (C32-C34)",Males and females,701,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,9,14,19,64,85,182,519,126,135,116,86,56,42,13,1,0,..
,,Males,533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,8,14,51,70,143,390,98,106,95,59,32,24,8,0,0,..
,,Females,168,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,6,5,13,15,39,129,28,29,21,27,24,18,5,1,0,..
,....malignant melanoma of skin (C43),Males and females,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,0,2,1,6,55,10,6,12,20,7,5,2,0,0,..
,,Males,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,1,0,3,22,6,2,4,7,3,2,1,0,0,..
,,Females,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,3,33,4,4,8,13,4,3,1,0,0,..
,....malignant neoplasm of breast (C50),Males and females,243,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,9,6,20,13,20,32,85,158,18,26,41,25,48,30,13,5,0,..
,,Males,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,1,0,0,0,0,0,..
,,Females,240,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,9,6,20,13,20,31,84,156,18,26,40,24,48,30,13,5,0,..
,....malignant neoplasm of cervix uteri (C53),Males and females,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,8,11,4,3,12,30,29,5,4,4,7,9,7,2,0,0,..
,,Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
,,Females,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,8,11,4,3,12,30,29,5,4,4,7,9,7,2,0,0,..
,"....malignant neoplasm of other parts of uterus (C54, C55)",Males and females,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,3,3,13,43,9,7,9,9,9,3,5,1,0,..
,,Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
,,Females,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,3,3,13,43,9,7,9,9,9,3,5,1,0,..
,....malignant neoplasm of ovary (C56),Males and females,101,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,5,9,18,34,67,8,11,17,14,17,9,8,0,0,..
,,Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
,,Females,101,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,5,9,18,34,67,8,11,17,14,17,9,8,0,0,..
